Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population,group_id
ASPIRIN; CARISOPRODOL,TABLET,ORAL,325MG; 200MG,CARISOPRODOL AND ASPIRIN,CHARTWELL RX SCIENCES LLC,"Mar 31, 1989",ASPIRIN; CARISOPRODOL||325MG; 200MG||TABLET||ORAL,325 mg; 200 mg,adult: 1 tablet per dose,QID,adult,23
ASPIRIN; MEPROBAMATE,TABLET,ORAL,325MG; 200MG,Q-GESIC,QUANTUM PHARMICS LTD,"Jun 1, 1984",ASPIRIN; MEPROBAMATE||325MG; 200MG||TABLET||ORAL,325 mg; 200 mg,adult: 1 tablet per dose,TID-QID PRN,adult,27
ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE,CAPSULE,ORAL,389MG; 32.4MG; 65MG,DARVON COMPOUND-65,XANODYNE PHARMACEUTICS INC,"Mar 8, 1983",ASPIRIN; CAFFEINE; PROPOXYPHENE HYDROCHLORIDE||389MG; 32.4MG; 65MG||CAPSULE||ORAL,389 mg; 32.4 mg; 65 mg,adult: 1-2 capsules/tablets per dose,q4h PRN,adult,22
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,GLENMARK SPECIALTY SA,"May 24, 2019","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult,24
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG,ASPIRIN AND DIPYRIDAMOLE,MICRO LABS LTD,"Aug 11, 2021","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult,24
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 40MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 40MG||TABLET||ORAL,81 mg; 40 mg,adult: 1 packet/tablet daily,daily,adult,34
ASPIRIN; DIPYRIDAMOLE,"CAPSULE, EXTENDED RELEASE",ORAL,25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,AGGRENOX,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,"Nov 22, 1999","ASPIRIN; DIPYRIDAMOLE||25MG; 200MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||CAPSULE, EXTENDED RELEASE||ORAL",25 mg; 200 mg,adult: 1 capsule per dose,BID,adult,25
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,PAR PHARMACEUTICAL INC,"Nov 4, 1988",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL,325 mg; 400 mg,adult: 1-2 tablets per dose,q6-8h PRN,adult,28
ASPIRIN; OMEPRAZOLE,"TABLET, DELAYED RELEASE",ORAL,325MG; 40MG,YOSPRALA,GENUS LIFE SCIENCES INC,"Sep 14, 2016","ASPIRIN; OMEPRAZOLE||325MG; 40MG||TABLET, DELAYED RELEASE||ORAL",325 mg; 40 mg,adult: 1 tablet daily,daily,adult,29
ASPIRIN; OXYCODONE HYDROCHLORIDE,TABLET,ORAL,325MG; 4.8355MG,OXYCODONE AND ASPIRIN,EPIC PHARMA LLC,"Jul 16, 2020",ASPIRIN; OXYCODONE HYDROCHLORIDE||325MG; 4.8355MG||TABLET||ORAL,325 mg; 4.8355 mg,adult: 1 tablet per dose,q6h PRN,adult,30
ASPIRIN; PENTAZOCINE HYDROCHLORIDE,TABLET,ORAL,325MG; EQ 12.5MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TALWIN COMPOUND,SANOFI AVENTIS US LLC,"Approved Prior to Jan 1, 1982",ASPIRIN; PENTAZOCINE HYDROCHLORIDE||325MG; EQ 12.5MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,325 mg; eq 12.5 mg BASE,adult: 1 capsule per dose,q4h PRN,adult,31
ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE,TABLET,ORAL,385MG; 30MG; 25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,NORGESIC,BAUSCH HEALTH US LLC,"Oct 27, 1982",ASPIRIN; CAFFEINE; ORPHENADRINE CITRATE||385MG; 30MG; 25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL,385 mg; 30 mg; 25 mg,adult: 1-2 tablets per dose,TID-QID PRN,adult,21
ASPIRIN; PRAVASTATIN SODIUM,TABLET,ORAL,81MG; 80MG,PRAVIGARD PAC (COPACKAGED),BRISTOL MYERS SQUIBB CO,"Jun 24, 2003",ASPIRIN; PRAVASTATIN SODIUM||81MG; 80MG||TABLET||ORAL,81 mg; 80 mg,adult: 1 packet/tablet daily,daily,adult,35
ASPIRIN,TABLET,ORAL,500MG,BAYER EXTRA STRENGTH ASPIRIN FOR MIGRAINE PAIN,BAYER HEALTHCARE LLC,"Oct 18, 2001",ASPIRIN||500MG||TABLET||ORAL,500 mg,adult: 325-650 mg per dose; pediatric: not routine,q4-6h PRN,adult,20
ASPIRIN; HYDROCODONE BITARTRATE,TABLET,ORAL,500MG; 5MG,VICOPRIN,ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"Sep 14, 1983",ASPIRIN; HYDROCODONE BITARTRATE||500MG; 5MG||TABLET||ORAL,500 mg; 5 mg,adult: 1-2 tablets per dose,q4-6h PRN,adult,26
ASPIRIN,TABLET,ORAL,500MG,BAYER EXTRA STRENGTH ASPIRIN FOR MIGRAINE PAIN,BAYER HEALTHCARE LLC,"Oct 18, 2001",ASPIRIN||500MG||TABLET||ORAL,500 mg,adult: 325-650 mg per dose; pediatric: not routine,q4-6h PRN,adult,20
